company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants,Municipality,Property tax B in 1000 euros
Klinikum Saarbrücken,4.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,1,Winterberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Winterberg 1, 66119 Saarbrücken, Germany",49.2213948,6.9981787,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
eurodata,4.3,Saarland,201 to 500 Employees,Enterprise Software & Network Solutions,257,Großblittersdorfer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Großblittersdorfer Str. 257, 66119 Saarbrücken, Germany",49.1970742,7.0214189,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Targobank,3.4,Saarland,5001 to 10000 Employees,Banking & Lending,36,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 36, 66111 Saarbrücken, Germany",49.2347602,6.9947485,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Gries Deco Company,3,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,15,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 15, 66111 Saarbrücken, Germany",49.2333,6.99451,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Bundesverband der Deutschen Volksbanken und Raiffeisenbanken,3.8,Saarland,10000+ Employees,Banking & Lending,1A,Breslauer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Breslauer Str. 1A, 66121 Saarbrücken, Germany",49.2279172,7.0352476,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Tempo-Team,4,Saarland,10000+ Employees,HR Consulting,2a,Dudweilerstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Dudweilerstraße 2a, 66111 Saarbrücken, Germany",49.2351561,6.9946935,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Vorwerk,3.6,Saarland,10000+ Employees,Consumer Product Manufacturing,30,Sankt-Johanner-Markt,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Sankt-Johanner-Markt 30, 66111 Saarbrücken, Germany",49.2323738,6.9973688,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Attensity,3.2,Saarland,51 to 200 Employees,Enterprise Software & Network Solutions,1A,Neugrabenweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Neugrabenweg 1A, 66123 Saarbrücken, Germany",49.2399404,7.0069706,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
TEMPTON Personaldienstleistungen,3.2,Saarland,5001 to 10000 Employees,HR Consulting,5-Mar,Viktoriastraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Viktoriastraße 3-5, 66111 Saarbrücken, Germany",49.23707,6.99067,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
SB-Möbel Boss,2.8,Saarland,5001 to 10000 Employees,Home Furniture & Housewares Stores,4-Feb,Dr.-Tietz-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Dr.-Tietz-Straße 2-4, 66115 Saarbrücken, Germany",49.238663,6.9599644,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
HORNBACH,3.8,Saarland,10000+ Employees,Home Furniture & Housewares Stores,184,Mainzer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Mainzer Str. 184, 66121 Saarbrücken, Germany",49.2265663,7.0322413,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Bauhaus,3.6,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,14,Dudweiler Landstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Dudweiler Landstraße 14, 66123 Saarbrücken, Germany",49.2460796,7.0041507,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
moltomedia,5,Saarland,1 to 50 Employees,Information Technology Support Services,29,Heinrich-Barth-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Heinrich-Barth-Straße 29, 66115 Saarbrücken, Germany",49.2398244,6.9596917,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
IDS Scheer,3.9,Saarland,1001 to 5000 Employees,Information Technology Support Services,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2461191,6.9390454,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Saarland-Heilstätten,4.4,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,10,Sonnenbergstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Sonnenbergstraße 10, 66119 Saarbrücken, Germany",49.2003316,7.0131335,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Peugeot,3.7,Saarland,5001 to 10000 Employees,Transportation Equipment Manufacturing,1,Armand-Peugeot-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Armand-Peugeot-Straße 1, 66119 Saarbrücken, Germany",49.2000797,7.0195901,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Shell,4.1,Saarland,10000+ Employees,Energy & Utilities,136,Lebacher Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113,"Lebacher Str. 136, 66113 Saarbrücken, Germany",49.2484376,6.9661746,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Randstad,3.9,Saarland,501 to 1000 Employees,HR Consulting,80,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 80, 66111 Saarbrücken, Germany",49.237222,6.9923389,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Consistec,3.6,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Science Park 1, 66123 Saarbrücken, Germany",49.2552571,7.0372232,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Max Planck Institute,4.2,Saarland,51 to 200 Employees,Energy & Utilities,E1 4,Stuhlsatzenhausweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Campus, Stuhlsatzenhausweg E1 4, 66123 Saarbrücken, Germany",49.257775,7.04602,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
FERCHAU,3.7,Saarland,5001 to 10000 Employees,HR Consulting,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2460901,6.9368552,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Deutsche Bank,3.9,Saarland,10000+ Employees,Banking & Lending,29-31,Kaiserstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Kaiserstraße 29-31, 66111 Saarbrücken, Germany",49.2383965,6.9935643,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
ANSON'S,4.1,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",69,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 69, 66111 Saarbrücken, Germany",49.23631,6.99267,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Peek & Cloppenburg,3.6,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",44,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 44, 66111 Saarbrücken, Germany",49.2354963,6.9938941,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
K|Lens,5,"Headquarters in Saarbrücken, Germany",1 to 50 Employees,Information Technology Support Services,4,Am Römerkastell,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Am Römerkastell 4, 66121 Saarbrücken, Germany",49.2265775,7.0208901,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
akko Personaldienstleistungen,3.9,Saarland,51 to 200 Employees,HR Consulting,18,Heinrich-Barth-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Heinrich-Barth-Straße 18, 66115 Saarbrücken, Germany",49.2387608,6.9554596,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
INFOMOTION,4.4,Saarland,501 to 1000 Employees,Information Technology Support Services,31,Europaallee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113,"Europaallee 31, 66113 Saarbrücken, Germany",49.2425499,6.9893452,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
T-Systems,4,Saarland,10000+ Employees,Information Technology Support Services,6,Nell-Breuning-Allee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Nell-Breuning-Allee 6, 66115 Saarbrücken, Germany",49.2403839,6.955457,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Mercedes-Benz Group,4.2,Saarland,10000+ Employees,Transportation Equipment Manufacturing,1,Untertürkheimer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117,"Untertürkheimer Str. 1, 66117 Saarbrücken, Germany",49.2121944,6.975848,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Deutsche Kreditbank,4.2,Saarland,1001 to 5000 Employees,Banking & Lending,2,Viktoriastraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Viktoriastraße 2, 66111 Saarbrücken, Germany",49.237124,6.9901807,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
C&A,3.6,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",104-108,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 104-108, 66111 Saarbrücken, Germany",49.2383623,6.9911892,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Greencells Group,3.3,Saarland,201 to 500 Employees,Energy & Utilities,9,Betzenstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstr. 28, Betzenstraße 9/Eingang über, 66111 Saarbrücken, Germany",49.2344422,6.9954395,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
BAD Gruppe,3.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,1,Stengelstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117,"Stengelstraße 1, 66117 Saarbrücken, Germany",49.23326,6.99006,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Rohde & Schwarz,4.1,Saarland,10000+ Employees,Enterprise Software & Network Solutions,12,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 12, 66111 Saarbrücken, Germany",49.235622,6.9924583,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Manpower,4.2,Saarland,10000+ Employees,HR Consulting,40,Großherzog-Friedrich-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Großherzog-Friedrich-Straße 40, 66111 Saarbrücken, Germany",49.2330312,7.0022677,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Deichmann,3.2,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",1:00 AM,Breslauer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"EG , Saar-Basar, Breslauer Str. 1 A, 66121 Saarbrücken, Germany",49.2279593,7.036621,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
TALLY WEiJL,2.7,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",1,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 1, 66111 Saarbrücken, Germany",49.2331888,6.9956561,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Michelin,4.1,Saarland,10000+ Employees,Machinery Manufacturing,5,Nauwieserstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Nauwieserstraße 5, 66111 Saarbrücken, Germany",49.2349398,6.9997051,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
ZF Group,3.9,Saarland,10000+ Employees,Transportation Equipment Manufacturing,12,Untertürkheimer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117,"Car Powertrain Technology Werk 3, Untertürkheimer Str. 12, 66117 Saarbrücken, Germany",49.21434,6.9734773,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Piening Personal,3.4,Saarland,5001 to 10000 Employees,HR Consulting,7,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 7, 66111 Saarbrücken, Germany",49.2365061,6.9918238,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Ergosign,4.2,Saarland,201 to 500 Employees,Information Technology Support Services,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Science Park 1, 66123 Saarbrücken, Germany",49.2552571,7.0372232,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Enovos Group,2.9,Saarland,1001 to 5000 Employees,Energy & Utilities,3,Am Halberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Am Halberg 3, 66121 Saarbrücken, Germany",49.2243759,7.0396018,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Welocalize,3.7,Saarland,1001 to 5000 Employees,HR Consulting,10,Nell-Breuning-Allee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Nell-Breuning-Allee 10, 66115 Saarbrücken, Germany",49.23983,6.95532,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Zara,3.4,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",31,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 31, 66111 Saarbrücken, Germany",49.2345,6.9945,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Be4work,4.2,Saarland,501 to 1000 Employees,HR Consulting,3,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 3, 66111 Saarbrücken, Germany",49.2368706,6.9911249,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
DHC Business Solutions,4,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,7-Jun,Landwehrplatz,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Landwehrpl. 6-7, 66111 Saarbrücken, Germany",49.2336831,7.0020556,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Toyoda Gosei,3.6,Saarland,10000+ Employees,Transportation Equipment Manufacturing,3,Ernst-Abbe-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Ernst-Abbe-Straße 3, 66115 Saarbrücken, Germany",49.2400346,6.9511268,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
Roller,2.8,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,21-23,Sulzbachstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Sulzbachstraße 21-23, 66111 Saarbrücken, Germany",49.2382016,6.9962656,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277,"- 1,5",Regionalverband Saarbrücken,1 666
