,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants,Municipality,Property tax B in 1000 euros
12,Targobank,3.4,Saarland,5001 to 10000 Employees,Banking & Lending,36,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 36, 66111 Saarbrücken, Germany",49.2347602,6.9947485,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
13,Gries Deco Company,3.0,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,15,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 15, 66111 Saarbrücken, Germany",49.2333,6.994510000000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
14,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken,3.8,Saarland,10000+ Employees,Banking & Lending,1A,Breslauer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121.0,"Breslauer Str. 1A, 66121 Saarbrücken, Germany",49.2279172,7.0352476,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
15,Tempo-Team,4.0,Saarland,10000+ Employees,HR Consulting,2a,Dudweilerstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Dudweilerstraße 2a, 66111 Saarbrücken, Germany",49.2351561,6.994693499999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
16,Vorwerk,3.6,Saarland,10000+ Employees,Consumer Product Manufacturing,30,Sankt-Johanner-Markt,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Sankt-Johanner-Markt 30, 66111 Saarbrücken, Germany",49.2323738,6.997368799999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
17,Attensity,3.2,Saarland,51 to 200 Employees,Enterprise Software & Network Solutions,1A,Neugrabenweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123.0,"Neugrabenweg 1A, 66123 Saarbrücken, Germany",49.23994039999999,7.006970599999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
18,TEMPTON Personaldienstleistungen,3.2,Saarland,5001 to 10000 Employees,HR Consulting,3-5,Viktoriastraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Viktoriastraße 3-5, 66111 Saarbrücken, Germany",49.23707,6.99067,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
19,SB-Möbel Boss,2.8,Saarland,5001 to 10000 Employees,Home Furniture & Housewares Stores,2-4,Dr.-Tietz-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Dr.-Tietz-Straße 2-4, 66115 Saarbrücken, Germany",49.238663,6.9599644,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
20,HORNBACH,3.8,Saarland,10000+ Employees,Home Furniture & Housewares Stores,184,Mainzer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121.0,"Mainzer Str. 184, 66121 Saarbrücken, Germany",49.22656629999999,7.0322413,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
21,Bauhaus,3.6,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,14,Dudweiler Landstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123.0,"Dudweiler Landstraße 14, 66123 Saarbrücken, Germany",49.24607959999999,7.004150699999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
