,Unnamed: 0,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeinde,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants
14,14,Bosch,4.4,Saarland,10000+ Employees,Consumer Product Manufacturing,47,Saarbrücker Straße,Lebach,Landkreis Saarlouis,Saarland,66822,"Saarbrücker Str. 47, 66822 Lebach, Germany",49.403309,6.9160064,Lebach,44112,64.21,18694,Saarlouis,75-100,11,1 031,962,751,1 766,Provision of Public and Private Services,381,"11,6",-180,"- 9,6"
15,15,IKK Südwest,3.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,4-Mar,Europaallee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113,"Europaallee 3-4, 66113 Saarbrücken, Germany",49.2430414,6.9838806,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
16,16,Globus Baumarkt,3.1,Saarland,5001 to 10000 Employees,Home Furniture & Housewares Stores,8,Leipziger Straße,Sankt Wendel,Landkreis St. Wendel,Saarland,66606,"Leipziger Str. 8, 66606 St. Wendel, Germany",49.4631127,7.1520192,St. Wendel (Kreisstadt),46117,113.53,25337,St. Wendel,40,51,3 651,2 670,2 750,5 317,Provision of Public and Private Services,854,"7,3",-147,"- 5,8"
17,17,Mahola Hôtesses,3,Saarland,501 to 1000 Employees,HR Consulting,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Klinikum Saarbrücken,4.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,1,Winterberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Winterberg 1, 66119 Saarbrücken, Germany",49.2213948,6.9981787,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
19,19,Proserv,4.2,Saarland,1001 to 5000 Employees,Energy & Utilities,1,Edouard-Michelin-Platz,Homburg,Saarpfalz-Kreis,Saarland,66424,"Edouard-Michelin-Platz 1, 66424 Homburg, Germany",49.3423625,7.3478498,Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Manufacturing industry,3 277,"16,0",160,"+ 3,8"
20,20,Nemak,4,Saarland,10000+ Employees,Transportation Equipment Manufacturing,,Marie-Curie-Straße,Dillingen/Saar,Landkreis Saarlouis,Saarland,66763,"Marie-Curie-Straße, 66763 Dillingen/Saar, Germany",49.3688687,6.7061227,Dillingen/Saar,44111,22.05,19668,Saarlouis,100-150,,8 181,1 836,1 307,3 142,Manufacturing industry,1 532,"16,9",58,"+ 2,9"
21,21,Kettler,4.2,Saarland,501 to 1000 Employees,Consumer Product Manufacturing,,Heinz-Kettler-Straße,Kleinblittersdorf,Regionalverband Saarbrücken,Saarland,66271,"Heinz-Kettler-Straße, 66271 Kleinblittersdorf, Germany",49.1184692,7.0578303,Kleinblittersdorf,41514,27.19,10707,RV Saarbrücken,100-150,7,598,792,578,973,Provision of Public and Private Services,899,"6,8",126,"+ 11,7"
22,22,eurodata,4.3,Saarland,201 to 500 Employees,Enterprise Software & Network Solutions,257,Großblittersdorfer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Großblittersdorfer Str. 257, 66119 Saarbrücken, Germany",49.1970742,7.0214189,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
23,23,MÖBEL MARTIN,3.1,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,300,Provinzialstraße,Ensdorf,Landkreis Saarlouis,Saarland,66806,"Provinzialstraße 300, 66806 Ensdorf, Germany",49.2935144,6.7775407,Ensdorf,44123,8.39,6502,Saarlouis,145,.,200,901,.,390,"Trade, Transport, Hospitality",168,"14,0",62,"+ 9,6"
24,24,Rieke Packaging Systems,2.9,Saarland,201 to 500 Employees,Machinery Manufacturing,13,In der Au,Neunkirchen,Siegen-Wittgenstein,Nordrhein-Westfalen,57290,"In d. Au 13, 57290 Neunkirchen, Germany",50.7839463,8.0159856,Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
25,25,Targobank,3.4,Saarland,5001 to 10000 Employees,Banking & Lending,36,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 36, 66111 Saarbrücken, Germany",49.2347602,6.9947485,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
26,26,Gries Deco Company,3,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,15,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 15, 66111 Saarbrücken, Germany",49.2333,6.99451,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
27,27,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken,3.8,Saarland,10000+ Employees,Banking & Lending,1A,Breslauer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Breslauer Str. 1A, 66121 Saarbrücken, Germany",49.2279172,7.0352476,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
28,28,CLEVR,4.5,Saarland,201 to 500 Employees,Information Technology Support Services,43,Poststraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386,"Poststraße 43, 66386 St. Ingbert, Germany",49.2774262,7.1120831,St. Ingbert (Mittelstadt),45117,49.95,34971,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Manufacturing industry,1 992,"9,6",68,"+ 1,9"
29,29,Tempo-Team,4,Saarland,10000+ Employees,HR Consulting,2a,Dudweilerstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Dudweilerstraße 2a, 66111 Saarbrücken, Germany",49.2351561,6.9946935,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
30,30,Sparkasse,3.7,Saarland,10000+ Employees,Banking & Lending,30,Talstraße,Homburg,Saarpfalz-Kreis,Saarland,66424,"Talstraße 30, 66424 Homburg, Germany",49.3229427,7.3394949,Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Manufacturing industry,3 277,"16,0",160,"+ 3,8"
31,31,Vorwerk,3.6,Saarland,10000+ Employees,Consumer Product Manufacturing,30,Sankt-Johanner-Markt,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Sankt-Johanner-Markt 30, 66111 Saarbrücken, Germany",49.2323738,6.9973688,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
32,32,Schneider Electric,4.2,Saarland,10000+ Employees,Energy & Utilities,,,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstr. 28 (Eingang Betzenstr. 9 ), 66111 Saarbrücken, Germany",49.2343777,6.9946765,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
33,33,jobvalley,3.6,Saarland,201 to 500 Employees,HR Consulting,21,Kesselstraße,Stuttgart,Stuttgart,Baden-Württemberg,70327,"Kesselstraße 21, 70327 Stuttgart, Germany",48.7667259,9.2512617,,,,,,,,,,,,,,,,
34,34,Hager,3.9,Saarland,501 to 1000 Employees,Machinery Manufacturing,,Zum Gunterstal,Blieskastel,Saarpfalz-Kreis,Saarland,66440,"Zum Gunterstal, 66440 Blieskastel, Germany",49.2342495,7.2742774,Blieskastel,45112,108.21,20153,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Manufacturing industry,631,"5,6",-9,"- 0,4"
35,35,Fori Automation,3.8,Saarland,501 to 1000 Employees,Transportation Equipment Manufacturing,3,Viezstraße,Merzig,Merzig-Wadern,Saarland,66663,"Viezstraße 3, 66663 Merzig, Germany",49.4660003,6.6267731,Merzig (Kreisstadt),42113,108.98,29609,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
36,36,Attensity,3.2,Saarland,51 to 200 Employees,Enterprise Software & Network Solutions,1A,Neugrabenweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Neugrabenweg 1A, 66123 Saarbrücken, Germany",49.2399404,7.0069706,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
37,37,TEMPTON Personaldienstleistungen,3.2,Saarland,5001 to 10000 Employees,HR Consulting,5-Mar,Viktoriastraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Viktoriastraße 3-5, 66111 Saarbrücken, Germany",49.23707,6.99067,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
38,38,Private,4.1,Saarland,1 to 50 Employees,Health Care Services & Hospitals,34,Eisenbahnstraße,Homburg,Saarpfalz-Kreis,Saarland,66424,"Eisenbahnstraße 34, 66424 Homburg, Germany",49.3247491,7.339596,Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Manufacturing industry,3 277,"16,0",160,"+ 3,8"
39,39,SB-Möbel Boss,2.8,Saarland,5001 to 10000 Employees,Home Furniture & Housewares Stores,4-Feb,Dr.-Tietz-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Dr.-Tietz-Straße 2-4, 66115 Saarbrücken, Germany",49.238663,6.9599644,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
40,40,Schaeffler,3.8,Saarland,10000+ Employees,Machinery Manufacturing,134,Berliner Straße,Homburg,Saarpfalz-Kreis,Saarland,66424,"Berliner Str. 134, 66424 Homburg, Germany",49.3415884,7.3481085,Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Manufacturing industry,3 277,"16,0",160,"+ 3,8"
41,41,HORNBACH,3.8,Saarland,10000+ Employees,Home Furniture & Housewares Stores,184,Mainzer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Mainzer Str. 184, 66121 Saarbrücken, Germany",49.2265663,7.0322413,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
42,42,Amer Sports,3.6,Saarland,5001 to 10000 Employees,Consumer Product Manufacturing,2,Im Häsfeld,Überherrn,Landkreis Saarlouis,Saarland,66802,"Im Häsfeld 2, 66802 Überherrn, Germany",49.2692947,6.7307386,Überherrn,44119,34.31,11393,Saarlouis,100-150,27,1 380,1 691,236,471,"Trade, Transport, Hospitality",761,"7,0",35,"+ 3,1"
43,43,Festo,4.1,Saarland,10000+ Employees,Machinery Manufacturing,29,Gottlieb-Stoll-Straße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386,"Gottlieb-Stoll-Straße 29, 66386 St. Ingbert, Germany",49.2766001,7.1729513,St. Ingbert (Mittelstadt),45117,49.95,34971,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Manufacturing industry,1 992,"9,6",68,"+ 1,9"
44,44,Bauhaus,3.6,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,14,Dudweiler Landstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Dudweiler Landstraße 14, 66123 Saarbrücken, Germany",49.2460796,7.0041507,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
45,45,moltomedia,5,Saarland,1 to 50 Employees,Information Technology Support Services,29,Heinrich-Barth-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Heinrich-Barth-Straße 29, 66115 Saarbrücken, Germany",49.2398244,6.9596917,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
46,46,IDS Scheer,3.9,Saarland,1001 to 5000 Employees,Information Technology Support Services,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2461191,6.9390454,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
